epoch,versal,aie,sysmon_max,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1786330511.38,31.906,30.585,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0025,0.8788,1.2025,1.4938,-2.0737,4.7271,0.1122,0.0748,0.1673,0.1578,1.5280,0.1110,0.1432,0.0126,0.0232,0.5454,1.1657,-0.0000,0.1889,0.1714,0.0022,7.0573
1786330512.38,32.031,30.617,34.070,0.8037,0.8087,0.7988,0.7988,0.7988,0.8025,1.5025,1.5000,1.8000,1.7963,3.3138,1.2012,1.1025,0.0037,0.8775,1.2050,1.4938,-1.6638,4.7312,0.1150,0.0751,0.1665,0.1581,1.5258,0.1110,0.1449,0.0126,0.0232,0.5454,1.1670,-0.0000,0.1865,0.1702,0.0030,7.4716
1786330513.38,31.960,30.781,34.070,0.8037,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.4988,1.8013,1.7963,3.3150,1.2012,1.1000,0.0025,0.8788,1.2025,1.4938,-1.7843,4.7069,0.1190,0.0752,0.1672,0.1631,1.5378,0.1117,0.1432,0.0117,0.0249,0.5466,1.1643,-0.0000,0.1867,0.1714,0.0030,7.3483
1786330514.38,32.000,30.750,34.070,0.8037,0.8075,0.7988,0.8000,0.7975,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,-1.5191,4.7158,0.1138,0.0756,0.1667,0.1603,1.5280,0.1103,0.1450,0.0126,0.0232,0.5466,1.1651,-0.0000,0.1856,0.1700,0.0022,7.6018
1786330515.38,32.117,31.015,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.5012,1.8025,1.7963,3.3150,1.2000,1.1025,0.0037,0.8775,1.2025,1.4950,-2.2184,4.7191,0.1182,0.0752,0.1669,0.1603,1.5356,0.1118,0.1442,0.0117,0.0232,0.5472,1.1670,-0.0000,0.1865,0.1729,0.0030,6.9243
1786330516.38,31.960,30.906,34.070,0.8037,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.1987,1.1013,0.0037,0.8788,1.2025,1.4938,-1.3503,4.7312,0.1154,0.0756,0.1672,0.1635,1.5250,0.1103,0.1431,0.0117,0.0249,0.5460,1.1657,-0.0000,0.1878,0.1714,0.0030,7.7914
1786330517.38,31.968,30.710,34.070,0.8037,0.8087,0.7988,0.8013,0.8000,0.8013,1.5012,1.5012,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,-1.8084,4.7150,0.1054,0.0753,0.1676,0.1482,1.5320,0.1103,0.1441,0.0126,0.0232,0.5466,1.1662,-0.0000,0.1878,0.1714,0.0030,7.3004
1786330518.38,32.109,30.734,34.070,0.8037,0.8100,0.7988,0.8000,0.7988,0.8013,1.5038,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2025,1.4950,-1.8567,4.7385,0.1114,0.0748,0.1669,0.1671,1.5248,0.1118,0.1432,0.0126,0.0232,0.5460,1.1662,-0.0000,0.1856,0.1729,0.0022,7.2905
1786330519.38,32.070,30.898,34.070,0.8025,0.8100,0.7988,0.8000,0.7988,0.8013,1.5012,1.5000,1.8000,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,-1.9982,4.7547,0.1126,0.0752,0.1673,0.1623,1.5313,0.1103,0.1431,0.0117,0.0232,0.5448,1.1651,-0.0000,0.1878,0.1714,0.0037,7.1662
1786330520.38,32.031,30.445,34.070,0.8050,0.8087,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.7988,1.7975,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,-1.7147,4.7191,0.1094,0.0748,0.1665,0.1604,1.5258,0.1103,0.1430,0.0126,0.0265,0.5448,1.1662,-0.0000,0.1867,0.1714,0.0030,7.4058
